,Wavelength,n,k,comp
0,360,0.275368918,1.253243592,(0.275368918+1.253243592j)
1,361,0.274874404,1.263111132,(0.274874404+1.263111132j)
2,362,0.274379889,1.272978672,(0.274379889+1.272978672j)
3,363,0.273885375,1.282846211,(0.273885375+1.282846211j)
4,364,0.273390861,1.292713751,(0.273390861+1.292713751j)
5,365,0.272896347,1.302581291,(0.272896347+1.302581291j)
6,366,0.272401833,1.312448831,(0.272401833+1.312448831j)
7,367,0.271907319,1.32231637,(0.271907319+1.32231637j)
8,368,0.271412805,1.33218391,(0.271412805+1.33218391j)
9,369,0.27091829,1.34205145,(0.27091829+1.34205145j)
10,370,0.270423776,1.35191899,(0.270423776+1.35191899j)
11,371,0.269929262,1.361786529,(0.269929262+1.361786529j)
12,372,0.269434748,1.371654069,(0.269434748+1.371654069j)
13,373,0.268940234,1.381521609,(0.268940234+1.381521609j)
14,374,0.26844572,1.391389148,(0.26844572+1.391389148j)
15,375,0.267951205,1.401256688,(0.267951205+1.401256688j)
16,376,0.267456691,1.411124228,(0.267456691+1.411124228j)
17,377,0.266962177,1.420991768,(0.266962177+1.420991768j)
18,378,0.266467663,1.430859307,(0.266467663+1.430859307j)
19,379,0.265973149,1.440726847,(0.265973149+1.440726847j)
20,380,0.265478635,1.450594387,(0.265478635+1.450594387j)
21,381,0.26498412,1.460461926,(0.26498412+1.460461926j)
22,382,0.264489606,1.470329466,(0.264489606+1.470329466j)
23,383,0.263995092,1.480197006,(0.263995092+1.480197006j)
24,384,0.263500578,1.490064546,(0.263500578+1.490064546j)
25,385,0.263006064,1.499932085,(0.263006064+1.499932085j)
26,386,0.26251155,1.509799625,(0.26251155+1.509799625j)
27,387,0.262017035,1.519667165,(0.262017035+1.519667165j)
28,388,0.261522521,1.529534705,(0.261522521+1.529534705j)
29,389,0.261028007,1.539402244,(0.261028007+1.539402244j)
30,390,0.260533493,1.549269784,(0.260533493+1.549269784j)
31,391,0.260038979,1.559137324,(0.260038979+1.559137324j)
32,392,0.259544465,1.569004863,(0.259544465+1.569004863j)
33,393,0.25904995,1.578872403,(0.25904995+1.578872403j)
34,394,0.258555436,1.588739943,(0.258555436+1.588739943j)
35,395,0.258060922,1.598607483,(0.258060922+1.598607483j)
36,396,0.257566408,1.608475022,(0.257566408+1.608475022j)
37,397,0.257071894,1.618342562,(0.257071894+1.618342562j)
38,398,0.25657738,1.628210102,(0.25657738+1.628210102j)
39,399,0.256082865,1.638077641,(0.256082865+1.638077641j)
40,400,0.258864,1.640661,(0.258864+1.640661j)
41,401,0.257773,1.651722,(0.257773+1.651722j)
42,402,0.256731,1.662705,(0.256731+1.662705j)
43,403,0.255737,1.673611,(0.255737+1.673611j)
44,404,0.254788,1.684442,(0.254788+1.684442j)
45,405,0.253882,1.6952,(0.253882+1.6952j)
46,406,0.253016,1.705886,(0.253016+1.705886j)
47,407,0.252189,1.716503,(0.252189+1.716503j)
48,408,0.251399,1.727052,(0.251399+1.727052j)
49,409,0.250644,1.737534,(0.250644+1.737534j)
50,410,0.249922,1.747951,(0.249922+1.747951j)
51,411,0.249232,1.758305,(0.249232+1.758305j)
52,412,0.248573,1.768597,(0.248573+1.768597j)
53,413,0.247942,1.778829,(0.247942+1.778829j)
54,414,0.24734,1.789001,(0.24734+1.789001j)
55,415,0.246764,1.799116,(0.246764+1.799116j)
56,416,0.246214,1.809174,(0.246214+1.809174j)
57,417,0.245688,1.819177,(0.245688+1.819177j)
58,418,0.245185,1.829127,(0.245185+1.829127j)
59,419,0.244705,1.839023,(0.244705+1.839023j)
60,420,0.244247,1.848869,(0.244247+1.848869j)
61,421,0.243809,1.858664,(0.243809+1.858664j)
62,422,0.243391,1.868409,(0.243391+1.868409j)
63,423,0.242992,1.878107,(0.242992+1.878107j)
64,424,0.242612,1.887757,(0.242612+1.887757j)
65,425,0.242249,1.897362,(0.242249+1.897362j)
66,426,0.241903,1.906921,(0.241903+1.906921j)
67,427,0.241574,1.916436,(0.241574+1.916436j)
68,428,0.24126,1.925908,(0.24126+1.925908j)
69,429,0.240962,1.935337,(0.240962+1.935337j)
70,430,0.240679,1.944725,(0.240679+1.944725j)
71,431,0.24041,1.954072,(0.24041+1.954072j)
72,432,0.240154,1.963379,(0.240154+1.963379j)
73,433,0.239912,1.972648,(0.239912+1.972648j)
74,434,0.239682,1.981878,(0.239682+1.981878j)
75,435,0.239465,1.99107,(0.239465+1.99107j)
76,436,0.23926,2.000226,(0.23926+2.000226j)
77,437,0.239067,2.009346,(0.239067+2.009346j)
78,438,0.238884,2.01843,(0.238884+2.01843j)
79,439,0.238713,2.02748,(0.238713+2.02748j)
80,440,0.238552,2.036495,(0.238552+2.036495j)
81,441,0.238402,2.045477,(0.238402+2.045477j)
82,442,0.238261,2.054427,(0.238261+2.054427j)
