Wavelength,spec
380,0.546074427
381,0.558109555
382,0.570181812
383,0.58228224
384,0.594401656
385,0.60653066
386,0.618659648
387,0.630778821
388,0.642878198
389,0.65494763
390,0.666976811
391,0.67895529
392,0.690872491
393,0.702717723
394,0.714480195
395,0.726149037
396,0.737713309
397,0.749162023
398,0.760484157
399,0.771668674
400,0.782704538
401,0.793580734
402,0.804286283
403,0.814810262
404,0.825141824
405,0.835270211
406,0.845184781
407,0.854875017
408,0.864330552
409,0.873541186
410,0.882496903
411,0.891187889
412,0.899604551
413,0.907737535
414,0.915577743
415,0.923116346
416,0.930344808
417,0.937254896
418,0.943838696
419,0.950088634
420,0.955997482
421,0.961558378
422,0.966764838
423,0.971610767
424,0.976090472
425,0.980198673
426,0.983930514
427,0.987281572
428,0.990247864
429,0.992825858
430,0.995012479
431,0.996805115
432,0.998201619
433,0.99920032
434,0.99980002
435,1
436,0.99980002
437,0.99920032
438,0.998201619
439,0.996805115
440,0.995012479
441,0.992825858
442,0.990247864
443,0.987281572
444,0.983930514
445,0.980198673
446,0.976090472
447,0.971610767
448,0.966764838
449,0.961558378
450,0.955997482
451,0.950088634
452,0.943838696
453,0.937254896
454,0.930344808
455,0.923116346
456,0.915577743
457,0.907737535
458,0.899604551
459,0.891187889
460,0.882496903
461,0.873541186
462,0.864330552
463,0.854875017
464,0.845184781
465,0.835270211
466,0.825141824
467,0.814810262
468,0.804286283
469,0.793580734
470,0.782704538
471,0.771668674
472,0.760484157
473,0.749162023
474,0.737713309
475,0.726149037
476,0.714480195
477,0.702717723
478,0.690872491
479,0.67895529
480,0.666976811
481,0.65494763
482,0.642878198
483,0.630778821
484,0.618659648
485,0.60653066
486,0.594401656
487,0.58228224
488,0.570181812
489,0.558109555
490,0.546074427
491,0.534085148
492,0.522150196
493,0.510277798
494,0.498475918
495,0.486752256
496,0.475114239
497,0.463569017
498,0.452123458
499,0.440784141
500,0.429557358
501,0.418449109
502,0.407465098
503,0.396610733
504,0.385891128
505,0.375311099
506,0.364875164
507,0.354587549
508,0.344452183
509,0.334472706
510,0.324652467
511,0.314994532
512,0.30550168
513,0.296176417
514,0.28702097
515,0.2780373
516,0.269227105
517,0.260591821
518,0.252132635
519,0.243850487
520,0.235746077
521,0.227819871
522,0.220072113
523,0.212502824
524,0.205111817
525,0.197898699
526,0.190862883
527,0.184003592
528,0.17731987
529,0.17081059
530,0.164474457
531,0.158310023
532,0.152315691
533,0.146489723
534,0.140830252
535,0.135335283
536,0.130002708
537,0.124830308
538,0.119815766
539,0.11495667
540,0.110250525
541,0.105694756
542,0.101286717
543,0.0970237
544,0.092902939
545,0.088921617
546,0.085076877
547,0.08136582
548,0.077785519
549,0.074333021
550,0.071005354
551,0.067799531
552,0.064712558
553,0.061741436
554,0.058883168
555,0.056134763
556,0.053493239
557,0.050955631
558,0.048518991
559,0.046180391
560,0.043936934
561,0.041785746
562,0.03972399
563,0.03774886
564,0.035857591
565,0.034047455
566,0.032315768
567,0.03065989
568,0.029077227
569,0.027565232
570,0.02612141
571,0.024743313
572,0.023428548
573,0.022174773
574,0.020979699
575,0.019841095
576,0.01875678
577,0.017724631
578,0.016742582
579,0.015808619
580,0.014920786
581,0.014077183
582,0.013275965
583,0.012515342
584,0.01179358
585,0.011108997
586,0.010459967
587,0.009844917
588,0.009262327
589,0.008710727
590,0.008188701
591,0.007694881
592,0.007227949
593,0.006786635
594,0.006369719
595,0.005976023
596,0.005604418
597,0.005253819
598,0.004923183
599,0.00461151
600,0.00431784
601,0.004041255
602,0.003780874
603,0.003535856
604,0.003305393
605,0.003088715
606,0.002885088
607,0.002693807
608,0.002514202
609,0.002345633
610,0.002187491
611,0.002039195
612,0.001900193
613,0.001769957
614,0.001647988
615,0.001533811
616,0.001426973
617,0.001327046
618,0.001233623
619,0.001146318
620,0.001064766
621,0.000988621
622,0.000917553
623,0.000851254
624,0.00078943
625,0.000731802
626,0.000678111
627,0.000628107
628,0.000581558
629,0.000538243
630,0.000497955
631,0.000460499
632,0.00042569
633,0.000393354
634,0.00036333
635,0.000335463
636,0.000309609
637,0.000285634
638,0.00026341
639,0.000242818
640,0.000223746
641,0.00020609
642,0.000189751
643,0.000174637
644,0.000160663
645,0.000147748
646,0.000135817
647,0.0001248
648,0.00011463
649,0.000105247
650,9.66E-05
651,8.86E-05
652,8.13E-05
653,7.45E-05
654,6.83E-05
655,6.25E-05
656,5.72E-05
657,5.24E-05
658,4.79E-05
659,4.38E-05
660,4.01E-05
661,3.66E-05
662,3.34E-05
663,3.05E-05
664,2.79E-05
665,2.54E-05
666,2.32E-05
667,2.11E-05
668,1.93E-05
669,1.75E-05
670,1.60E-05
671,1.45E-05
672,1.32E-05
673,1.20E-05
674,1.09E-05
675,9.93E-06
676,9.02E-06
677,8.19E-06
678,7.43E-06
679,6.74E-06
680,6.11E-06
681,5.54E-06
682,5.02E-06
683,4.55E-06
684,4.12E-06
685,3.73E-06
686,3.37E-06
687,3.05E-06
688,2.76E-06
689,2.49E-06
690,2.25E-06
691,2.03E-06
692,1.83E-06
693,1.65E-06
694,1.49E-06
695,1.34E-06
696,1.21E-06
697,1.09E-06
698,9.82E-07
699,8.84E-07
700,7.95E-07
701,7.15E-07
702,6.43E-07
703,5.77E-07
704,5.19E-07
705,4.66E-07
706,4.18E-07
707,3.75E-07
708,3.36E-07
709,3.01E-07
710,2.70E-07
711,2.42E-07
712,2.16E-07
713,1.94E-07
714,1.73E-07
715,1.55E-07
716,1.39E-07
717,1.24E-07
718,1.11E-07
719,9.87E-08
720,8.81E-08
721,7.86E-08
722,7.01E-08
723,6.25E-08
724,5.56E-08
725,4.96E-08
726,4.41E-08
727,3.93E-08
728,3.49E-08
729,3.11E-08
730,2.76E-08
731,2.45E-08
732,2.18E-08
733,1.93E-08
734,1.72E-08
735,1.52E-08
736,1.35E-08
737,1.20E-08
738,1.06E-08
739,9.39E-09
740,8.32E-09
741,7.36E-09
742,6.51E-09
743,5.76E-09
744,5.09E-09
745,4.50E-09
746,3.97E-09
747,3.51E-09
748,3.09E-09
749,2.73E-09
750,2.41E-09
751,2.12E-09
752,1.87E-09
753,1.65E-09
754,1.45E-09
755,1.28E-09
756,1.12E-09
757,9.87E-10
758,8.67E-10
759,7.62E-10
760,6.69E-10
761,5.87E-10
762,5.16E-10
763,4.52E-10
764,3.97E-10
765,3.48E-10
766,3.05E-10
767,2.67E-10
768,2.34E-10
769,2.04E-10
770,1.79E-10
771,1.56E-10
772,1.37E-10
773,1.19E-10
774,1.04E-10
775,9.10E-11
776,7.94E-11
777,6.93E-11
778,6.04E-11
779,5.27E-11
780,4.59E-11
