,Wavelength,n,k,comp
0,192,1.630112,0.967984,(1.630112+0.967984j)
1,193,1.639158,0.972448,(1.639158+0.972448j)
2,194,1.6483,0.976795,(1.6483+0.976795j)
3,195,1.657534,0.981024,(1.657534+0.981024j)
4,196,1.66686,0.985134,(1.66686+0.985134j)
5,197,1.676277,0.989124,(1.676277+0.989124j)
6,198,1.685784,0.992994,(1.685784+0.992994j)
7,199,1.695378,0.996741,(1.695378+0.996741j)
8,200,1.705059,1.000366,(1.705059+1.000366j)
9,201,1.714826,1.003867,(1.714826+1.003867j)
10,202,1.724678,1.007242,(1.724678+1.007242j)
11,203,1.734613,1.010491,(1.734613+1.010491j)
12,204,1.74463,1.013612,(1.74463+1.013612j)
13,205,1.754728,1.016605,(1.754728+1.016605j)
14,206,1.764906,1.019466,(1.764906+1.019466j)
15,207,1.775163,1.022196,(1.775163+1.022196j)
16,208,1.785498,1.024793,(1.785498+1.024793j)
17,209,1.795909,1.027254,(1.795909+1.027254j)
18,210,1.806396,1.02958,(1.806396+1.02958j)
19,211,1.816957,1.031767,(1.816957+1.031767j)
20,212,1.82759,1.033814,(1.82759+1.033814j)
21,213,1.838297,1.03572,(1.838297+1.03572j)
22,214,1.849073,1.037483,(1.849073+1.037483j)
23,215,1.85992,1.039101,(1.85992+1.039101j)
24,216,1.870834,1.040572,(1.870834+1.040572j)
25,217,1.881816,1.041895,(1.881816+1.041895j)
26,218,1.892863,1.043066,(1.892863+1.043066j)
27,219,1.903975,1.044084,(1.903975+1.044084j)
28,220,1.915149,1.044948,(1.915149+1.044948j)
29,221,1.926386,1.045654,(1.926386+1.045654j)
30,222,1.937682,1.046202,(1.937682+1.046202j)
31,223,1.949037,1.046587,(1.949037+1.046587j)
32,224,1.960448,1.046809,(1.960448+1.046809j)
33,225,1.971915,1.046865,(1.971915+1.046865j)
34,226,1.983436,1.046752,(1.983436+1.046752j)
35,227,1.995008,1.046467,(1.995008+1.046467j)
36,228,2.00663,1.04601,(2.00663+1.04601j)
37,229,2.018301,1.045376,(2.018301+1.045376j)
38,230,2.030017,1.044563,(2.030017+1.044563j)
39,231,2.041777,1.043569,(2.041777+1.043569j)
40,232,2.053578,1.042391,(2.053578+1.042391j)
41,233,2.065419,1.041026,(2.065419+1.041026j)
42,234,2.077296,1.039471,(2.077296+1.039471j)
43,235,2.089208,1.037724,(2.089208+1.037724j)
44,236,2.101151,1.035782,(2.101151+1.035782j)
45,237,2.113124,1.033641,(2.113124+1.033641j)
46,238,2.125122,1.031299,(2.125122+1.031299j)
47,239,2.137143,1.028753,(2.137143+1.028753j)
48,240,2.149184,1.026,(2.149184+1.026j)
49,241,2.161241,1.023037,(2.161241+1.023037j)
50,242,2.173311,1.01986,(2.173311+1.01986j)
51,243,2.18539,1.016468,(2.18539+1.016468j)
52,244,2.197474,1.012856,(2.197474+1.012856j)
53,245,2.20956,1.009022,(2.20956+1.009022j)
54,246,2.221643,1.004963,(2.221643+1.004963j)
55,247,2.233718,1.000676,(2.233718+1.000676j)
56,248,2.245782,0.996157,(2.245782+0.996157j)
