Wavelength,spec
380,0.453925573
381,0.441890445
382,0.429818188
383,0.41771776
384,0.405598344
385,0.39346934
386,0.381340352
387,0.369221179
388,0.357121802
389,0.34505237
390,0.333023189
391,0.32104471
392,0.309127509
393,0.297282277
394,0.285519805
395,0.273850963
396,0.262286691
397,0.250837977
398,0.239515843
399,0.228331326
400,0.217295462
401,0.206419266
402,0.195713717
403,0.185189738
404,0.174858176
405,0.164729789
406,0.154815219
407,0.145124983
408,0.135669448
409,0.126458814
410,0.117503097
411,0.108812111
412,0.100395449
413,0.092262465
414,0.084422257
415,0.076883654
416,0.069655192
417,0.062745104
418,0.056161304
419,0.049911366
420,0.044002518
421,0.038441622
422,0.033235162
423,0.028389233
424,0.023909528
425,0.019801327
426,0.016069486
427,0.012718428
428,0.009752136
429,0.007174142
430,0.004987521
431,0.003194885
432,0.001798381
433,0.00079968
434,0.00019998
435,0
436,0.00019998
437,0.00079968
438,0.001798381
439,0.003194885
440,0.004987521
441,0.007174142
442,0.009752136
443,0.012718428
444,0.016069486
445,0.019801327
446,0.023909528
447,0.028389233
448,0.033235162
449,0.038441622
450,0.044002518
451,0.049911366
452,0.056161304
453,0.062745104
454,0.069655192
455,0.076883654
456,0.084422257
457,0.092262465
458,0.100395449
459,0.108812111
460,0.117503097
461,0.126458814
462,0.135669448
463,0.145124983
464,0.154815219
465,0.164729789
466,0.174858176
467,0.185189738
468,0.195713717
469,0.206419266
470,0.217295462
471,0.228331326
472,0.239515843
473,0.250837977
474,0.262286691
475,0.273850963
476,0.285519805
477,0.297282277
478,0.309127509
479,0.32104471
480,0.333023189
481,0.34505237
482,0.357121802
483,0.369221179
484,0.381340352
485,0.39346934
486,0.405598344
487,0.41771776
488,0.429818188
489,0.441890445
490,0.453925573
491,0.465914852
492,0.477849804
493,0.489722202
494,0.501524082
495,0.513247744
496,0.524885761
497,0.536430983
498,0.547876542
499,0.559215859
500,0.570442642
501,0.581550891
502,0.592534902
503,0.603389267
504,0.614108872
505,0.624688901
506,0.635124836
507,0.645412451
508,0.655547817
509,0.665527294
510,0.675347533
511,0.685005468
512,0.69449832
513,0.703823583
514,0.71297903
