Wavelength,k
360,17453292.52
361,17404945.45
362,17356865.49
363,17309050.43
364,17261498.1
365,17214206.32
366,17167172.97
367,17120395.93
368,17073873.12
369,17027602.46
370,16981581.91
371,16935809.45
372,16890283.08
373,16845000.82
374,16799960.71
375,16755160.82
376,16710599.22
377,16666274.02
378,16622183.35
379,16578325.35
380,16534698.18
381,16491300.02
382,16448129.08
383,16405183.57
384,16362461.74
385,16319961.84
386,16277682.14
387,16235620.95
388,16193776.56
389,16152147.32
390,16110731.56
391,16069527.64
392,16028533.95
393,15987748.87
394,15947170.83
395,15906798.25
396,15866629.56
397,15826663.24
398,15786897.76
399,15747331.6
400,15707963.27
401,15668791.29
402,15629814.2
403,15591030.54
404,15552438.88
405,15514037.8
406,15475825.88
407,15437801.74
408,15399963.99
409,15362311.26
410,15324842.21
411,15287555.49
412,15250449.77
413,15213523.75
414,15176776.1
415,15140205.56
416,15103810.83
417,15067590.66
418,15031543.8
419,14995668.99
420,14959965.02
421,14924430.66
422,14889064.71
423,14853865.97
424,14818833.27
425,14783965.43
426,14749261.28
427,14714719.69
428,14680339.5
429,14646119.6
430,14612058.85
431,14578156.17
432,14544410.43
433,14510820.57
434,14477385.5
435,14444104.15
436,14410975.48
437,14377998.41
438,14345171.93
439,14312495
440,14279966.61
441,14247585.73
442,14215351.37
443,14183262.54
444,14151318.26
445,14119517.54
446,14087859.43
447,14056342.97
448,14024967.2
449,13993731.2
450,13962634.02
451,13931674.74
452,13900852.45
453,13870166.24
454,13839615.21
455,13809198.48
456,13778915.15
457,13748764.35
458,13718745.21
459,13688856.88
460,13659098.49
461,13629469.21
462,13599968.2
463,13570594.62
464,13541347.64
465,13512226.47
466,13483230.27
467,13454358.26
468,13425609.63
469,13396983.6
470,13368479.38
471,13340096.19
472,13311833.28
473,13283689.87
474,13255665.21
475,13227758.54
476,13199969.13
477,13172296.24
478,13144739.14
479,13117297.09
480,13089969.39
481,13062755.32
482,13035654.16
483,13008665.23
484,12981787.82
485,12955021.25
486,12928364.83
487,12901817.88
488,12875379.73
489,12849049.71
490,12822827.16
491,12796711.42
492,12770701.84
493,12744797.78
494,12718998.6
495,12693303.65
496,12667712.31
497,12642223.96
498,12616837.97
499,12591553.72
500,12566370.61
501,12541288.04
502,12516305.39
503,12491422.08
504,12466637.51
505,12441951.1
506,12417362.27
507,12392870.43
508,12368475.01
509,12344175.46
510,12319971.19
511,12295861.66
512,12271846.3
513,12247924.58
514,12224095.93
515,12200359.82
516,12176715.71
517,12153163.07
518,12129701.37
519,12106330.07
520,12083048.67
521,12059856.64
522,12036753.46
523,12013738.64
524,11990811.65
525,11967972.01
526,11945219.22
527,11922552.77
528,11899972.17
529,11877476.95
530,11855066.62
531,11832740.69
532,11810498.7
533,11788340.16
534,11766264.62
535,11744271.6
536,11722360.65
537,11700531.3
538,11678783.1
539,11657115.6
540,11635528.35
541,11614020.9
542,11592592.82
543,11571243.66
544,11549972.99
545,11528780.38
546,11507665.4
547,11486627.62
548,11465666.62
549,11444781.98
550,11423973.29
551,11403240.12
552,11382582.08
553,11361998.75
554,11341489.72
555,11321054.61
556,11300693
557,11280404.5
558,11260188.72
559,11240045.27
560,11219973.76
561,11199973.81
562,11180045.03
563,11160187.05
564,11140399.48
565,11120681.96
566,11101034.11
567,11081455.57
568,11061945.96
569,11042504.93
570,11023132.12
571,11003827.16
572,10984589.7
573,10965419.38
574,10946315.87
575,10927278.8
576,10908307.82
577,10889402.61
578,10870562.82
579,10851788.1
580,10833078.12
581,10814432.54
582,10795851.04
583,10777333.29
584,10758878.95
585,10740487.7
586,10722159.23
587,10703893.2
588,10685689.3
589,10667547.21
590,10649466.62
591,10631447.22
592,10613488.69
593,10595590.74
594,10577753.04
595,10559975.31
596,10542257.23
597,10524598.5
598,10506998.84
599,10489457.94
600,10471975.51
601,10454551.26
602,10437184.9
603,10419876.13
604,10402624.68
605,10385430.26
606,10368292.59
607,10351211.38
608,10334186.36
609,10317217.25
610,10300303.78
611,10283445.67
612,10266642.66
613,10249894.47
614,10233200.83
615,10216561.48
616,10199976.15
617,10183444.58
618,10166966.52
619,10150541.69
620,10134169.85
621,10117850.74
622,10101584.1
623,10085369.67
624,10069207.22
625,10053096.49
626,10037037.23
627,10021029.2
628,10005072.15
629,9989165.83
630,9973310.011
631,9957504.449
632,9941748.904
633,9926043.139
634,9910386.92
635,9894780.011
636,9879222.181
637,9863713.198
638,9848252.833
639,9832840.856
640,9817477.042
641,9802161.166
642,9786893.002
643,9771672.328
644,9756498.924
645,9741372.569
646,9726293.045
647,9711260.135
648,9696273.622
649,9681333.293
650,9666438.934
651,9651590.334
652,9636787.281
653,9622029.567
654,9607316.983
655,9592649.324
656,9578026.383
657,9563447.956
658,9548913.841
659,9534423.835
660,9519977.738
661,9505575.351
662,9491216.476
663,9476900.916
664,9462628.475
665,9448398.958
666,9434212.173
667,9420067.927
668,9405966.029
669,9391906.289
670,9377888.518
671,9363912.529
672,9349978.136
673,9336085.152
674,9322233.393
675,9308422.677
676,9294652.821
677,9280923.644
678,9267234.966
679,9253586.609
680,9239978.393
681,9226410.143
682,9212881.682
683,9199392.836
684,9185943.432
685,9172533.295
686,9159162.255
687,9145830.141
688,9132536.784
689,9119282.013
690,9106065.663
691,9092887.565
692,9079747.554
693,9066645.465
694,9053581.134
695,9040554.399
696,9027565.097
697,9014613.066
698,9001698.148
699,8988820.182
700,8975979.01
701,8963174.475
702,8950406.42
703,8937674.69
704,8924979.13
705,8912319.585
706,8899695.903
707,8887107.931
708,8874555.519
709,8862038.515
710,8849556.771
711,8837110.137
712,8824698.465
713,8812321.609
714,8799979.422
715,8787671.758
716,8775398.474
717,8763159.424
718,8750954.467
719,8738783.459
720,8726646.26
721,8714542.728
722,8702472.725
723,8690436.11
724,8678432.745
725,8666462.493
726,8654525.217
727,8642620.78
728,8630749.048
729,8618909.886
730,8607103.161
731,8595328.738
732,8583586.485
733,8571876.272
734,8560197.966
735,8548551.438
736,8536936.559
737,8525353.198
738,8513801.229
739,8502280.524
740,8490790.956
741,8479332.398
742,8467904.727
743,8456507.816
744,8445141.542
745,8433805.781
746,8422500.412
747,8411225.311
748,8399980.357
749,8388765.43
750,8377580.41
751,8366425.176
752,8355299.611
753,8344203.595
754,8333137.012
755,8322099.745
756,8311091.676
757,8300112.691
758,8289162.674
759,8278241.511
760,8267349.088
761,8256485.292
762,8245650.009
763,8234843.129
764,8224064.538
765,8213314.127
766,8202591.785
767,8191897.402
768,8181230.869
769,8170592.077
770,8159980.918
771,8149397.286
772,8138841.071
773,8128312.17
774,8117810.474
775,8107335.88
776,8096888.282
777,8086467.577
778,8076073.66
779,8065706.428
780,8055365.778
